player_name,Season,was_home,assists_(per_90),attempted_passes_(per_90),big_chances_created_(per_90),big_chances_missed_(per_90),completed_passes_(per_90),dribbles_(per_90),goals_scored_(per_90),key_passes_(per_90),offside_(per_90),tackled/lost_possession_(per_90),target_missed_(per_90),winning_goals_(per_90),tackles_(per_90),red_cards_(per_90),yellow_cards_(per_90)
Romelu Lukaku (16/17),16/17,0,0.282131661,27.47962382,0.394984326,0.112852665,17.77429467,2.369905956,0.902821317,1.410658307,1.184952978,3.21630094,1.015673981,0.169278997,0.056426332,0,0.112852665
Salomón Rondon (16/17),16/17,1,0,23.47528517,0,0.205323194,16.49429658,0.752851711,0.205323194,0.684410646,0.752851711,4.380228137,1.300380228,0.068441065,0.410646388,0,0.068441065
Salomón Rondon (16/17),16/17,0,0.17121116,21.34432467,0.228281547,0.399492708,13.24032974,0.913126189,0.285351934,0.913126189,1.027266963,3.994927077,1.084337349,0.057070387,0.399492708,0,0.057070387
Sam Vokes (16/17),16/17,1,0.194384449,25.07559395,0.194384449,0.194384449,12.53779698,0.194384449,0.291576674,0.485961123,0.485961123,1.26349892,1.26349892,0,0.583153348,0,0
Sam Vokes (16/17),16/17,0,0.158172232,26.57293497,0,0.079086116,13.68189807,0.474516696,0.553602812,0.79086116,1.423550088,2.056239016,1.028119508,0.158172232,0.158172232,0,0
Sergio Aguero (16/17),16/17,1,0.273348519,29.79498861,0.20501139,0.410022779,24.66970387,2.596810934,1.025056948,1.093394077,1.093394077,4.44191344,1.298405467,0.341685649,0.478359909,0,0.06833713
Sergio Aguero (16/17),16/17,0,0.082796688,27.48850046,0.331186753,0.579576817,22.60349586,3.56025759,0.413983441,1.241950322,0.579576817,4.553817847,2.483900644,0.165593376,0.248390064,0.082796688,0.248390064
Troy Deeney (16/17),16/17,1,0.128939828,25.59455587,0.128939828,0.128939828,15.6017192,0.451289398,0.193409742,1.224928367,0.515759312,1.353868195,0.515759312,0.064469914,0.580229226,0,0.128939828
Troy Deeney (16/17),16/17,0,0.11627907,25.40697674,0,0.290697674,14.59302326,0.465116279,0.406976744,1.279069767,0.639534884,1.337209302,0.523255814,0,0.174418605,0,0.290697674
Zlatan Ibrahimovic (16/17),16/17,1,0.230769231,41.53846154,0.153846154,0.230769231,31.15384615,0.538461538,0.769230769,1.384615385,1.230769231,1.692307692,0.846153846,0.307692308,0.076923077,0,0.230769231
Zlatan Ibrahimovic (16/17),16/17,0,0.283911672,35.48895899,0.425867508,1.206624606,25.62302839,0.70977918,0.496845426,2.058359621,1.41955836,2.129337539,1.916403785,0.141955836,0.070977918,0,0.283911672
